Configuration,Term,J,Prefix,Level (Hartree),Suffix,Uncertainty (Hartree),Leading percentages,Reference
"=""2p5.3s.6d?""","=""*""","=""1/2 or 3/2""","=""""","=""2.4386""","=""""","=""""","=""                                                    ""","="""""
"=""2p5.3s.6d?""","=""*""","=""1/2 or 3/2""","=""""","=""2.4435""","=""""","=""""","=""                                                    ""","="""""
"=""2p5.3s.7d?""","=""*""","=""1/2 or 3/2""","=""""","=""2.4499""","=""""","=""""","=""                                                    ""","="""""
"=""2p5.3s.7d?""","=""*""","=""1/2 or 3/2""","=""""","=""2.4550""","=""""","=""""","=""                                                    ""","="""""
"=""2p5.3s.6d?""","=""*""","=""1/2 or 3/2""","=""""","=""2.4594""","=""""","=""""","=""                                                    ""","="""""
"=""2p5.3s.8d?""","=""*""","=""1/2 or 3/2""","=""""","=""2.4654""","=""""","=""""","=""                                                    ""","="""""
"=""2p5.3s.9d?""","=""*""","=""1/2 or 3/2""","=""""","=""2.4672""","=""""","=""""","=""                                                    ""","="""""
"=""2p5.3s.9d?""","=""*""","=""1/2 or 3/2""","=""""","=""2.4721""","=""""","=""""","=""                                                    ""","="""""
"=""2p5.3s.7d?""","=""*""","=""1/2 or 3/2""","=""""","=""2.4750""","=""""","=""""","=""                                                    ""","="""""
"=""Mg III (2p5.3s 3P*<2>)""","=""Limit""","=""---""","=""""","=""2.49190""","=""""","=""""","=""                                                    ""","="""""
"=""Mg III (2p5.3s 3P*<1>)""","=""Limit""","=""---""","=""""","=""2.49749""","=""""","=""""","=""                                                    ""","="""""
"=""Mg III (2p5.3s 3P*<0>)""","=""Limit""","=""---""","=""""","=""2.5020""","=""""","=""""","=""                                                    ""","="""""
"=""Mg III (2p5.3s 1P*<1>)""","=""Limit""","=""---""","=""""","=""2.51873""","=""""","=""""","=""                                                    ""","="""""
