Configuration,Term,J,Prefix,Level (Hartree),Suffix,Uncertainty (Hartree),Leading percentages,Reference
"=""1s.2s.(3S).6g""","=""4G""","=""5/2,7/2,9/2,11/2""","=""""","=""8.560934""","=""""","=""0.000023""","=""  55         :   26-31  1s.2p.(3P*).4f       4G   ""","=""L12547"""
"=""1s.2s.(3S).6g""","=""2G""","=""7/2,9/2""","=""""","=""8.561082""","=""""","=""0.00009""","=""  55         :    26  1s.2p.(3P*).4f       2G   ""","=""L12547"""
"=""1s.2s.(3S).6d""","=""4D""","=""1/2,3/2,5/2,7/2""","=""""","=""8.562370""","=""""","=""0.000023""","=""  99                                            ""","=""L12547"""
"=""1s.2p.(3P*).4d""","=""4D*""","=""1/2,3/2,5/2,7/2""","=""""","=""8.564741""","=""""","=""0.000023""","="" 100                                            ""","=""L12547"""
"=""1s.2s.(3S).6f""","=""4F*""","=""3/2,5/2,7/2,9/2""","=""""","=""8.566742""","=""""","=""0.000023""","=""  87         :    12  1s.2p.(3P*).4d       4F*  ""","=""L12547"""
"=""1s.2p.(3P*).4f""","=""2F""","=""5/2,7/2""","=""""","=""8.566987""","=""""","=""0.00009""","=""  65         :   11-35  1s.2p.4f             4F   ""","=""L12547"""
"=""1s.2p.(3P*).4f""","=""4F""","=""3/2,5/2,7/2,9/2""","=""""","=""8.567055""","=""""","=""0.000023""","=""  65         :   0-35  1s.2p.(3P*).(3P*).4f 2F   ""","=""L12547"""
"=""1s.2p.(3P*).4d""","=""4P*""","=""1/2,3/2,5/2""","=""""","=""8.570223""","=""""","=""0.000023""","=""  83         :    12  1s.2s.(3S).6p        4P*  ""","=""L12547"""
"=""1s.2p.(3P*).4f""","=""4G""","=""5/2,7/2,9/2,11/2""","=""""","=""8.574318""","=""""","=""0.000023""","=""  55         :   30-33  1s.2s.(3S).6g        4G   ""","=""L12547"""
"=""1s.2p.(3P*).4f""","=""4D""","=""1/2,3/2,5/2,7/2""","=""""","=""8.574394""","=""""","=""0.000023""","=""  99                                            ""","=""L12547"""
"=""1s.2p.(3P*).4f""","=""2G""","=""7/2,9/2""","=""""","=""8.574642""","=""""","=""0.00009""","=""  58         :    30  1s.2s.(3S).6g        2G   ""","=""L12547"""
"=""1s.2s.(3S).7d""","=""4D""","=""1/2,3/2,5/2,7/2""","=""""","=""8.5968""","=""""","=""0.0004""","="" 100                                            ""","=""L12547"""
"=""1s.2p.(1P*).4p""","=""2D""","=""3/2,5/2""","=""""","=""8.6384""","=""""","=""0.0004""","=""  89                                            ""","=""L12547"""
"=""1s.2p.(3P*).5s""","=""4P*""","=""1/2,3/2,5/2""","=""""","=""8.648978""","=""""","=""0.00003""","=""  98                                            ""","=""L12547"""
"=""1s.2p.(1P*).4d""","=""2D*""","=""3/2,5/2""","=""""","=""8.6511""","=""""","=""0.0014""","=""  95         :     4  1s.2p.(3P*).5d       2D*  ""","=""L12547"""
"=""1s.2p.(3P*).5p""","=""4D""","=""1/2,3/2,5/2,7/2""","=""""","=""8.6566""","=""""","=""0.0003""","=""  99                                            ""","=""L12547"""
"=""1s.2p.(3P*).5p""","=""4P""","=""1/2,3/2,5/2""","=""""","=""8.66157""","=""""","=""0.00003""","=""  52         :   0-46  1s.2p.(3P*).5p       4S   ""","=""L12547"""
"=""1s.2p.(3P*).5d""","=""4D*""","=""1/2,3/2,5/2,7/2""","=""""","=""8.66888""","=""""","=""0.00018""","=""  99                                            ""","=""L12547"""
"=""1s.2p.(3P*).5f""","=""2F""","=""5/2,7/2""","=""""","=""8.67027""","=""""","=""0.00010""","=""  69         :   6-31  1s.2p.5f             4F   ""","=""L12547"""
"=""1s.2p.(3P*).5f""","=""4F""","=""3/2,5/2,7/2,9/2""","=""""","=""8.67032""","=""""","=""0.00005""","=""  69         :   0-31  1s.2p.(3P*).(3P*).5f 2F   ""","=""L12547"""
"=""1s.2p.(3P*).5p""","=""2D""","=""3/2,5/2""","=""""","=""8.671""","=""""","=""0.005""","=""  89         :     4  1s.2p.(1P*).4p       2D   ""","=""L12547"""
"=""1s.2p.(3P*).5p""","=""2P""","=""1/2,3/2""","=""""","=""8.671""","=""""","=""0.004""","=""  84         :    15  1s.2p.(1P*).4p       2P   ""","=""L12547"""
"=""1s.2p.(3P*).5d""","=""4P*""","=""1/2,3/2,5/2""","=""""","=""8.6710""","=""""","=""0.0003""","=""  96                                            ""","=""L12547"""
"=""1s.2p.(3P*).5f""","=""4G""","=""5/2,7/2,9/2,11/2""","=""""","=""8.671321""","=""""","=""0.000023""","=""  60         :    40  1s.2s.(3S).ng        4G   ""","=""L12547"""
"=""1s.2p.(3P*).5g""","=""4G*""","=""5/2,7/2,9/2,11/2""","=""""","=""8.671383""","=""""","=""0.000023""","=""  65         :   0-33  1s.2p.(3P*).(3P*).5g 2G*  ""","=""L12547"""
"=""1s.2p.(3P*).5g""","=""2G*""","=""7/2,9/2""","=""""","=""8.671425""","=""""","=""0.00009""","=""  65         :   28-34  1s.2p.5g             4G*  ""","=""L12547"""
"=""1s.2p.(3P*).5f""","=""4D""","=""1/2,3/2,5/2,7/2""","=""""","=""8.67376""","=""""","=""0.00003""","=""  97                                            ""","=""L12547"""
"=""1s.2p.(1P*).5p""","=""2D""","=""3/2,5/2""","=""""","=""8.7548""","=""""","=""0.0010""","=""  52         :    26  1s.2p.7p             4D   ""","=""L12547"""
"=""1s.3p.(3P*).4p""","=""2D""","=""3/2,5/2""","=""""","=""9.699""","=""""","=""0.003""","=""  63         :    37  1s.3p.(1P*).4p       2D   ""","=""L12547"""
"=""2s.2p2""","=""2D""","=""3/2,5/2""","=""""","=""16.221""","=""""","=""0.014""","=""  99                                            ""","=""L12547"""
"=""2p3""","=""4S*""","=""3/2""","=""""","=""16.317""","=""""","=""0.007""","="" 100                                            ""","=""L12547"""
