Configuration,Term,J,Prefix,Level (Hartree),Suffix,Uncertainty (Hartree),Leading percentages,Reference
"=""5d9.(2D<5/2>).6s.6p.(3P*<2>)""","=""(5/2,2)*""","=""7/2""","=""""","=""0.652513""","=""""","=""""","=""  99                                                        ""","=""L3138,L418"""
"=""5d9.(2D<5/2>).6s.6p.(3P*<2>)""","=""(5/2,2)*""","=""1/2""","=""""","=""0.653260""","=""""","=""""","=""  53         :    35  5d9.(2D<3/2>).6s.6p.(3P*<1>) (3/2,1)* ""","=""L3138,L418"""
"=""5d10.7s""","=""2S""","=""1/2""","=""""","=""0.634323""","=""""","=""""","=""                                                            ""","=""L3138"""
"=""5d9.(2D<3/2>).6s.6p.(3P*<0>)""","=""(3/2,0)*""","=""3/2""","=""""","=""0.637985""","=""""","=""""","=""  36         :    38  5d9.(2D<3/2>).6s.6p.(3P*<1>) (3/2,1)* ""","=""L3138,L418"""
"=""5d10.6d""","=""2D""","=""3/2""","=""""","=""0.662318""","=""""","=""""","=""                                                            ""","=""L3138"""
"=""5d10.6d""","=""2D""","=""5/2""","=""""","=""0.668305""","=""""","=""""","=""                                                            ""","=""L3138"""
"=""5d9.(2D<3/2>).6s.6p.(3P*<1>)""","=""(3/2,1)*""","=""5/2""","=""""","=""0.669800""","=""""","=""""","=""  77         :     9  5d9.(2D<5/2>).6s.6p.(3P*<2>) (5/2,2)* ""","=""L3138,L418"""
"=""5d9.(2D<3/2>).6s.6p.(3P*<1>)""","=""(3/2,1)*""","=""3/2""","=""""","=""0.682404""","=""""","=""""","=""  50         :    20  5d9.(2D<5/2>).6s.6p.(3P*<2>) (5/2,2)* ""","=""L3138,L418"""
"=""5d9.(2D<3/2>).6s.6p.(3P*<1>)""","=""(3/2,1)*""","=""1/2""","=""""","=""0.687340""","=""""","=""""","=""  54         :    34  5d9.(2D<5/2>).6s.6p.(3P*<2>) (5/2,2)* ""","=""L3138,L418"""
"=""5d9.(2D<5/2>).6s.6p.(1P*<1>)""","=""(5/2,1)*""","=""3/2""","=""""","=""0.710157""","=""""","=""""","=""  53         :    21  5d10.7p                      2P*      ""","=""L3138,L418"""
